"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Portugal","LFS-ADJ - EU Labour Force Survey adjusted series","Unemployment rate by sex and age (%)","Sex: Total","Age (Youth, adults): 15+","2010M12",13,,"Adjustments: Estimation based on labour force survey and registered unemployment figures","Frequency: Monthly","Age coverage - maximum age: 74 years old"
"Portugal","LFS-ADJ - EU Labour Force Survey adjusted series","Unemployment rate by sex and age (%)","Sex: Total","Age (Youth, adults): 15-24","2010M12",28.4,,"Adjustments: Estimation based on labour force survey and registered unemployment figures","Frequency: Monthly","Age coverage - maximum age: 74 years old"
"Portugal","LFS-ADJ - EU Labour Force Survey adjusted series","Unemployment rate by sex and age (%)","Sex: Total","Age (Youth, adults): 25+","2010M12",11.5,,"Adjustments: Estimation based on labour force survey and registered unemployment figures","Frequency: Monthly","Age coverage - maximum age: 74 years old"
"Portugal","LFS-ADJ - EU Labour Force Survey adjusted series","Unemployment rate by sex and age (%)","Sex: Male","Age (Youth, adults): 15+","2010M12",12.7,,"Adjustments: Estimation based on labour force survey and registered unemployment figures","Frequency: Monthly","Age coverage - maximum age: 74 years old"
"Portugal","LFS-ADJ - EU Labour Force Survey adjusted series","Unemployment rate by sex and age (%)","Sex: Male","Age (Youth, adults): 15-24","2010M12",26.5,,"Adjustments: Estimation based on labour force survey and registered unemployment figures","Frequency: Monthly","Age coverage - maximum age: 74 years old"
"Portugal","LFS-ADJ - EU Labour Force Survey adjusted series","Unemployment rate by sex and age (%)","Sex: Male","Age (Youth, adults): 25+","2010M12",11.4,,"Adjustments: Estimation based on labour force survey and registered unemployment figures","Frequency: Monthly","Age coverage - maximum age: 74 years old"
"Portugal","LFS-ADJ - EU Labour Force Survey adjusted series","Unemployment rate by sex and age (%)","Sex: Female","Age (Youth, adults): 15+","2010M12",13.3,,"Adjustments: Estimation based on labour force survey and registered unemployment figures","Frequency: Monthly","Age coverage - maximum age: 74 years old"
"Portugal","LFS-ADJ - EU Labour Force Survey adjusted series","Unemployment rate by sex and age (%)","Sex: Female","Age (Youth, adults): 15-24","2010M12",30.7,,"Adjustments: Estimation based on labour force survey and registered unemployment figures","Frequency: Monthly","Age coverage - maximum age: 74 years old"
"Portugal","LFS-ADJ - EU Labour Force Survey adjusted series","Unemployment rate by sex and age (%)","Sex: Female","Age (Youth, adults): 25+","2010M12",11.7,,"Adjustments: Estimation based on labour force survey and registered unemployment figures","Frequency: Monthly","Age coverage - maximum age: 74 years old"
"Portugal","LFS-ADJ - EU Labour Force Survey adjusted series","Unemployment rate by sex and age (%)","Sex: Total","Age (Youth, adults): 15+","2010M11",12.9,,"Adjustments: Estimation based on labour force survey and registered unemployment figures","Frequency: Monthly","Age coverage - maximum age: 74 years old"
"Portugal","LFS-ADJ - EU Labour Force Survey adjusted series","Unemployment rate by sex and age (%)","Sex: Total","Age (Youth, adults): 15-24","2010M11",28.6,,"Adjustments: Estimation based on labour force survey and registered unemployment figures","Frequency: Monthly","Age coverage - maximum age: 74 years old"
"Portugal","LFS-ADJ - EU Labour Force Survey adjusted series","Unemployment rate by sex and age (%)","Sex: Total","Age (Youth, adults): 25+","2010M11",11.4,,"Adjustments: Estimation based on labour force survey and registered unemployment figures","Frequency: Monthly","Age coverage - maximum age: 74 years old"
"Portugal","LFS-ADJ - EU Labour Force Survey adjusted series","Unemployment rate by sex and age (%)","Sex: Male","Age (Youth, adults): 15+","2010M11",12.7,,"Adjustments: Estimation based on labour force survey and registered unemployment figures","Frequency: Monthly","Age coverage - maximum age: 74 years old"
"Portugal","LFS-ADJ - EU Labour Force Survey adjusted series","Unemployment rate by sex and age (%)","Sex: Male","Age (Youth, adults): 15-24","2010M11",26.4,,"Adjustments: Estimation based on labour force survey and registered unemployment figures","Frequency: Monthly","Age coverage - maximum age: 74 years old"
"Portugal","LFS-ADJ - EU Labour Force Survey adjusted series","Unemployment rate by sex and age (%)","Sex: Male","Age (Youth, adults): 25+","2010M11",11.3,,"Adjustments: Estimation based on labour force survey and registered unemployment figures","Frequency: Monthly","Age coverage - maximum age: 74 years old"
