Date,Close,Open,High,Low,Volume,Change
Jan 01 2011,280.05,276.28,287.04,276.28,6.29B,+1.54%
Dec 01 2010,275.81,262.46,282.00,262.46,4.82B,+5.34%
Nov 01 2010,261.83,266.67,274.23,260.88,6.37B,-1.55%
Oct 01 2010,265.96,259.54,268.42,256.62,5.23B,+2.40%
Sep 01 2010,259.72,251.35,267.78,250.88,5.75B,+3.35%
Aug 01 2010,251.31,256.42,263.75,245.25,5.44B,-1.58%
Jul 01 2010,255.35,241.77,259.80,236.29,6.23B,+4.94%
Jun 01 2010,243.32,244.48,259.72,238.07,7.94B,-0.67%
May 01 2010,244.97,259.58,261.12,229.74,10.45B,-5.75%
Apr 01 2010,259.91,264.63,272.62,256.19,6.43B,-1.39%
Mar 01 2010,263.57,246.60,265.48,245.11,6.57B,+7.23%
Feb 01 2010,245.80,245.80,251.83,235.38,6.98B,-0.47%
Jan 01 2010,246.96,254.24,261.39,244.61,6.11B,-2.73%
Dec 01 2009,253.89,240.42,254.60,240.42,4.79B,+6.15%
Nov 01 2009,239.17,236.27,251.89,232.54,5.93B,+0.95%
Oct 01 2009,236.93,242.74,250.46,232.93,7.00B,-2.28%
Sep 01 2009,242.47,236.49,246.74,228.53,6.84B,+2.74%
Aug 01 2009,236.00,225.35,239.49,223.04,6.05B,+4.93%
Jul 01 2009,224.91,206.01,226.21,195.24,6.20B,+9.27%
Jun 01 2009,205.83,210.26,215.37,200.84,6.78B,-1.14%
May 01 2009,208.21,200.74,212.86,198.47,6.83B,+3.99%
Apr 01 2009,200.23,176.52,202.08,173.43,7.50B,+13.47%
Mar 01 2009,176.46,172.71,180.48,155.38,8.37B,+2.05%
Feb 01 2009,172.92,190.07,200.06,169.72,6.38B,-9.57%
Jan 01 2009,191.23,199.30,214.21,178.04,6.57B,-3.59%
Dec 01 2008,198.36,205.97,207.20,188.01,5.26B,-3.83%
Nov 01 2008,206.25,222.42,233.50,179.72,6.88B,-7.12%
Oct 01 2008,222.07,256.98,263.92,187.99,11.30B,-13.27%
Sep 01 2008,256.05,287.07,291.40,244.73,10.60B,-11.15%
Aug 01 2008,288.18,282.91,293.71,276.92,6.04B,+1.56%
Jul 01 2008,283.76,288.88,288.95,262.48,9.33B,-1.95%
Jun 01 2008,289.39,321.93,322.13,283.92,8.15B,-10.16%
May 01 2008,322.12,324.18,332.87,316.12,7.82B,-0.30%
Apr 01 2008,323.09,305.80,324.59,305.25,8.27B,+5.60%
Mar 01 2008,305.96,317.88,317.88,290.26,8.81B,-4.07%
Feb 01 2008,318.95,322.92,331.57,310.96,8.25B,-1.00%
